created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2020-03-06 15:50:50 IST,362,30,21,,,,
2020-03-06 15:51:52 IST,363,30,21,,,,
2020-03-06 15:53:57 IST,364,30,21,,,,
2020-03-06 15:54:59 IST,365,30,21,,,,
2020-03-06 15:56:01 IST,366,30,21,,,,
2020-03-06 15:57:03 IST,367,30,21,,,,
2020-03-06 15:58:05 IST,368,30,21,,,,
2020-03-06 15:59:08 IST,369,30,21,,,,
2020-03-06 16:00:10 IST,370,30,21,,,,
2020-03-06 16:01:12 IST,371,30,21,,,,
2020-03-06 16:02:14 IST,372,30,21,,,,
2020-03-06 16:03:16 IST,373,30,21,,,,
2020-03-06 16:04:18 IST,374,30,21,,,,
2020-03-06 16:05:20 IST,375,30,21,,,,
2020-03-06 16:06:22 IST,376,30,21,,,,
2020-03-06 16:07:24 IST,377,30,21,,,,
2020-03-06 16:08:27 IST,378,30,21,,,,
2020-03-06 16:09:29 IST,379,30,21,,,,
2020-03-06 16:10:31 IST,380,30,21,,,,
2020-03-06 16:11:33 IST,381,30,21,,,,
2020-03-06 16:12:35 IST,382,30,21,,,,
2020-03-06 16:13:37 IST,383,30,21,,,,
2020-03-06 16:14:39 IST,384,30,21,,,,
2020-03-06 16:15:41 IST,385,30,21,,,,
2020-03-06 16:16:44 IST,386,30,21,,,,
2020-03-06 16:17:46 IST,387,30,21,,,,
2020-03-06 16:18:48 IST,388,30,21,,,,
2020-03-06 16:19:50 IST,389,30,21,,,,
2020-03-06 16:20:52 IST,390,30,21,,,,
2020-03-06 16:21:54 IST,391,30,21,,,,
2020-03-06 16:22:56 IST,392,30,21,,,,
2020-03-06 16:23:58 IST,393,30,21,,,,
2020-03-06 16:25:01 IST,394,30,20,,,,
2020-03-06 16:26:03 IST,395,30,20,,,,
2020-03-06 16:27:05 IST,396,30,21,,,,
2020-03-06 16:28:07 IST,397,30,20,,,,
2020-03-06 16:29:09 IST,398,30,21,,,,
2020-03-06 16:30:11 IST,399,30,20,,,,
2020-03-06 16:31:13 IST,400,30,20,,,,
2020-03-06 16:32:15 IST,401,30,21,,,,
2020-03-06 16:33:18 IST,402,30,20,,,,
2020-03-06 16:34:20 IST,403,30,21,,,,
2020-03-06 16:35:22 IST,404,30,20,,,,
2020-03-06 16:36:24 IST,405,30,20,,,,
2020-03-06 16:37:27 IST,406,30,20,,,,
2020-03-06 16:41:35 IST,407,30,20,,,,
2020-03-06 16:42:37 IST,408,30,20,,,,
2020-03-06 16:43:39 IST,409,30,20,,,,
2020-03-06 16:44:41 IST,410,30,20,,,,
2020-03-06 16:45:43 IST,411,30,20,,,,
2020-03-06 16:46:45 IST,412,30,20,,,,
2020-03-06 16:47:47 IST,413,30,20,,,,
2020-03-06 16:48:50 IST,414,30,20,,,,
2020-03-06 16:49:52 IST,415,30,21,,,,
2020-03-06 16:50:54 IST,416,30,20,,,,
2020-03-06 16:51:56 IST,417,30,21,,,,
2020-03-06 16:52:58 IST,418,30,21,,,,
2020-03-06 16:55:02 IST,419,30,21,,,,
2020-03-06 16:56:04 IST,420,30,21,,,,
2020-03-07 09:28:12 IST,421,30,21,,,,
2020-03-07 09:29:14 IST,422,29,33,,,,
2020-03-07 09:30:17 IST,423,29,33,,,,
2020-03-07 09:31:19 IST,424,29,33,,,,
2020-03-07 09:32:21 IST,425,29,33,,,,
2020-03-07 09:33:23 IST,426,29,33,,,,
2020-03-07 09:34:25 IST,427,29,33,,,,
2020-03-07 09:35:27 IST,428,29,33,,,,
2020-03-07 09:36:29 IST,429,29,33,,,,
2020-03-07 09:37:31 IST,430,29,33,,,,
2020-03-07 09:38:34 IST,431,29,33,,,,
2020-03-07 09:39:36 IST,432,29,34,,,,
